Code,Longitude,Latitude,County,State,City,Name,ID2,ID,Depart,
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1110.5,1111,0,0
DAY,-84.219375,39.90237583,USA,OH,Dayton,James M Cox Dayton Intl,1111,1111,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1111.5,1112,0,0
DCA,-77.03772222,38.85208333,USA,VA,Arlington,Ronald Reagan Washington National,1112,1112,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1112.5,1113,0,0
DEN,-104.6670019,39.85840806,USA,CO,Denver,Denver Intl,1113,1113,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1113.5,1114,0,0
DFW,-97.0372,32.89595056,USA,TX,Dallas-Fort Worth,Dallas-Fort Worth International,1114,1114,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1114.5,1115,0,0
DSM,-93.66068222,41.53493306,USA,IA,Des Moines,Des Moines International,1115,1115,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1115.5,1116,0,0
DTW,-83.34883583,42.21205889,USA,MI,Detroit,Detroit Metropolitan-Wayne County,1116,1116,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1116.5,1117,0,0
EGE,-106.9176953,39.64256778,USA,CO,Eagle,Eagle County Regional,1117,1117,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1117.5,1118,0,0
EVV,-87.53062667,38.03799139,USA,IN,Evansville,Evansville Regional,1118,1118,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1118.5,1119,0,0
EWR,-74.16866056,40.69249722,USA,NJ,Newark,Newark Intl,1119,1119,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1119.5,1120,0,0
FLL,-80.15275,26.07258333,USA,FL,Ft. Lauderdale,Fort Lauderdale-Hollywood Int'l,1120,1120,1,0
